name_1,date_1,duration_str_1,name_2,date_2,duration_str_2,name_3,date_3,duration_str_3,context,duration_type,correct_date,correct_date_expr,correct_end_date,correct_duration,correct_duration_str,correct_duration_length,correct_month,correct_answer
Grant,2019-02-05,25 days,Marco,2019-01-25,14 days,Andrew,2019-01-13,7 days,"Grant is starting a hiking expedition on the 5th of February, which will last for 25 days. Marco is starting a hiking expedition on the 25th of January, which will last for 14 days. Andrew is starting a hiking expedition on the 13th of January, which will last for 7 days. The person whose expedition ends first is",weeks,2019-01-13,the 13th of January,2019-01-20,7 days,7 days,7,January,Andrew
Jack,2019-01-17,3 weeks,Brandon,2019-02-12,4 weeks,Walker,2019-01-28,2 weeks,Jack runs a festival booth on the 17th of January staying open for 3 weeks. Brandon runs a festival booth on the 12th of February staying open for 4 weeks. Walker runs a festival booth on the 28th of January staying open for 2 weeks. The person whose festival booth ends first is,weeks,2019-01-17,the 17th of January,2019-02-07,21 days,3 weeks,21,January,Jack
April,2019-02-05,10 days,Mark,2019-02-13,2 weeks,Steve,2019-02-11,30 days,April's subscription starts on the 5th of February and lasts for 10 days. Mark's subscription starts on the 13th of February and lasts for 2 weeks. Steve's subscription starts on the 11th of February and lasts for 30 days. The person whose subscription ends first is,weeks,2019-02-05,the 5th of February,2019-02-15,10 days,10 days,10,February,April
William,2019-01-14,2 years,Jason,2019-01-15,4 years,Luke,2019-02-12,2 years,William is starting a consultancy role on the 14th of January and will serve for 2 years. Jason is starting a consultancy role on the 15th of January and will serve for 4 years. Luke is starting a consultancy role on the 12th of February and will serve for 2 years. The person whose consultancy ends first is,years,2019-01-14,the 14th of January,2021-01-13,730 days,2 years,730,January,William
Kyle,2019-02-26,25 days,Aaron,2019-02-11,30 days,Hope,2019-02-01,1 week,Kyle is going on vacation starting on the 26th of February and will be away for 25 days. Aaron is going on vacation starting on the 11th of February and will be away for 30 days. Hope is going on vacation starting on the 1st of February and will be away for 1 week. The person whose vacation ends first is,weeks,2019-02-01,the 1st of February,2019-02-08,7 days,1 week,7,February,Hope
Hope,2019-01-11,2 weeks,Grant,2019-02-05,25 days,Marco,2019-01-25,14 days,Hope is starting a mentorship program on the 11th of January and will be engaged for 2 weeks. Grant is starting a mentorship program on the 5th of February and will be engaged for 25 days. Marco is starting a mentorship program on the 25th of January and will be engaged for 14 days. The person whose mentorship program ends first is,weeks,2019-01-11,the 11th of January,2019-01-25,14 days,2 weeks,14,January,Hope
Max,2019-01-01,4 weeks,Martin,2019-01-24,1 week,Brandon,2019-02-12,4 weeks,"Max is attending a first aid course on the 1st of January, lasting 4 weeks. Martin is attending a first aid course on the 24th of January, lasting 1 week. Brandon is attending a first aid course on the 12th of February, lasting 4 weeks. The person whose first aid course ends first is",weeks,2019-01-01,the 1st of January,2019-01-29,28 days,4 weeks,28,January,Max
Laura,2019-02-25,3 years,Jerry,2019-02-08,12 months,Martin,2019-01-05,36 months,"Laura begins their employment contract on the 25th of February, with a term of 3 years. Jerry begins their employment contract on the 8th of February, with a term of 12 months. Martin begins their employment contract on the 5th of January, with a term of 36 months. The person whose employment contract ends first is",years,2019-02-08,the 8th of February,2020-02-03,360 days,12 months,360,February,Jerry
Brandon,2019-01-07,18 months,Maria,2019-02-08,4 years,Jerry,2019-01-17,36 months,Brandon's residency begins on the 7th of January and goes on for 18 months. Maria's residency begins on the 8th of February and goes on for 4 years. Jerry's residency begins on the 17th of January and goes on for 36 months. The person whose residency ends first is,years,2019-01-07,the 7th of January,2020-06-30,540 days,18 months,540,January,Brandon
Mark,2019-01-21,14 days,Hope,2019-02-01,1 week,Joy,2019-02-24,3 weeks,"Mark is attending a first aid course on the 21st of January, lasting 14 days. Hope is attending a first aid course on the 1st of February, lasting 1 week. Joy is attending a first aid course on the 24th of February, lasting 3 weeks. The person whose first aid course ends first is",weeks,2019-01-21,the 21st of January,2019-02-04,14 days,14 days,14,January,Mark
Jerry,2019-02-08,12 months,Luke,2019-02-12,2 years,Martin,2019-01-05,36 months,Jerry is starting a remote assignment on the 8th of February and will work for 12 months. Luke is starting a remote assignment on the 12th of February and will work for 2 years. Martin is starting a remote assignment on the 5th of January and will work for 36 months. The person whose remote work ends first is,years,2019-02-08,the 8th of February,2020-02-03,360 days,12 months,360,February,Jerry
Neil,2019-02-12,10 days,Robert,2019-02-16,14 days,Kyle,2019-02-09,7 days,Neil is going on vacation starting on the 12th of February and will be away for 10 days. Robert is going on vacation starting on the 16th of February and will be away for 14 days. Kyle is going on vacation starting on the 9th of February and will be away for 7 days. The person whose vacation ends first is,weeks,2019-02-09,the 9th of February,2019-02-16,7 days,7 days,7,February,Kyle
Walker,2019-01-18,1 day,Alex,2019-02-05,6 days,Brandon,2019-02-28,9 days,Walker is leaving for a business trip on the 18th of January and will be gone for 1 day. Alex is leaving for a business trip on the 5th of February and will be gone for 6 days. Brandon is leaving for a business trip on the 28th of February and will be gone for 9 days. The person whose business trip ends first is,days,2019-01-18,the 18th of January,2019-01-19,1 days,1 day,1,January,Walker
Blake,2019-02-16,10 days,Kyle,2019-02-26,25 days,Brandon,2019-02-12,4 weeks,Blake's music tour starts on the 16th of February and lasts for 10 days. Kyle's music tour starts on the 26th of February and lasts for 25 days. Brandon's music tour starts on the 12th of February and lasts for 4 weeks. The person whose music tour ends first is,weeks,2019-02-16,the 16th of February,2019-02-26,10 days,10 days,10,February,Blake
Ryan,2019-02-18,3 months,Dean,2019-01-09,8 months,Emily,2019-01-04,10 weeks,"Ryan starts a sabbatical on the 18th of February, which will continue for the next 3 months. Dean starts a sabbatical on the 9th of January, which will continue for the next 8 months. Emily starts a sabbatical on the 4th of January, which will continue for the next 10 weeks. The person whose sabbatical ends first is",months,2019-01-04,the 4th of January,2019-03-15,70 days,10 weeks,70,January,Emily
Kyle,2019-02-26,25 days,Max,2019-01-20,4 weeks,Mark,2019-02-24,21 days,Kyle is starting their internship on the 26th of February and is set to run for 25 days. Max is starting their internship on the 20th of January and is set to run for 4 weeks. Mark is starting their internship on the 24th of February and is set to run for 21 days. The person whose internship ends first is,weeks,2019-01-20,the 20th of January,2019-02-17,28 days,4 weeks,28,January,Max
Andrew,2019-01-30,8 days,Rose,2019-02-19,9 days,Ryan,2019-01-31,5 days,Andrew is going on a cruise starting on the 30th of January and will be at sea for 8 days. Rose is going on a cruise starting on the 19th of February and will be at sea for 9 days. Ryan is going on a cruise starting on the 31st of January and will be at sea for 5 days. The person whose cruise ends first is,days,2019-01-31,the 31st of January,2019-02-05,5 days,5 days,5,January,Ryan
George,2019-01-24,4 years,Ryan,2019-02-17,4 years,Fred,2019-02-13,1 year,"George is commencing a postdoctoral fellowship on the 24th of January, scheduled to span 4 years. Ryan is commencing a postdoctoral fellowship on the 17th of February, scheduled to span 4 years. Fred is commencing a postdoctoral fellowship on the 13th of February, scheduled to span 1 year. The person whose fellowship ends first is",years,2019-02-13,the 13th of February,2020-02-13,365 days,1 year,365,February,Fred
Josh,2019-02-15,10 days,Rose,2019-02-19,9 days,Neil,2019-02-23,7 days,"Josh is taking part in a writing retreat on the 15th of February, which spans 10 days. Rose is taking part in a writing retreat on the 19th of February, which spans 9 days. Neil is taking part in a writing retreat on the 23rd of February, which spans 7 days. The person whose writing retreat ends first is",days,2019-02-15,the 15th of February,2019-02-25,10 days,10 days,10,February,Josh
April,2019-02-05,10 days,Max,2019-01-01,4 weeks,Luke,2019-01-12,14 days,April's mentorship begins on the 5th of February and continues for 10 days. Max's mentorship begins on the 1st of January and continues for 4 weeks. Luke's mentorship begins on the 12th of January and continues for 14 days. The person whose mentorship ends first is,weeks,2019-01-12,the 12th of January,2019-01-26,14 days,14 days,14,January,Luke
Brandon,2019-02-12,4 weeks,Tyler,2019-02-26,3 weeks,Mark,2019-01-21,14 days,Brandon is taking a parenting leave starting on the 12th of February and it will last for 4 weeks. Tyler is taking a parenting leave starting on the 26th of February and it will last for 3 weeks. Mark is taking a parenting leave starting on the 21st of January and it will last for 14 days. The person whose parenting leave ends first is,weeks,2019-01-21,the 21st of January,2019-02-04,14 days,14 days,14,January,Mark
Michael,2019-01-31,4 years,Scott,2019-02-27,12 months,Emily,2019-02-21,36 months,Michael's subscription starts on the 31st of January and lasts for 4 years. Scott's subscription starts on the 27th of February and lasts for 12 months. Emily's subscription starts on the 21st of February and lasts for 36 months. The person whose subscription ends first is,years,2019-02-27,the 27th of February,2020-02-22,360 days,12 months,360,February,Scott
Rose,2019-01-18,3 weeks,Jason,2019-02-26,14 days,Hope,2019-01-05,7 days,Rose is going on a pilgrimage starting on the 18th of January and will be away for 3 weeks. Jason is going on a pilgrimage starting on the 26th of February and will be away for 14 days. Hope is going on a pilgrimage starting on the 5th of January and will be away for 7 days. The person whose pilgrimage ends first is,weeks,2019-01-05,the 5th of January,2019-01-12,7 days,7 days,7,January,Hope
Alex,2019-02-05,6 days,Fred,2019-02-10,8 days,Rose,2019-01-13,7 days,"Alex begins a seminar on the 5th of February, lasting for 6 days. Fred begins a seminar on the 10th of February, lasting for 8 days. Rose begins a seminar on the 13th of January, lasting for 7 days. The person whose seminar ends first is",days,2019-01-13,the 13th of January,2019-01-20,7 days,7 days,7,January,Rose
